"//======================= About page","Seite: Info"
"About","Info"
"UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.","UPS bietet in Zusammenarbeit mit Magento ein kostenloses UPS Versand- und UPS Access Point™-Modul, mit dem Sie eine Vielzahl an UPS Versand- und Zustellungslösungen direkt in den Bezahlvorgang auf Ihrer Website integrieren und anbieten können! Dieses offizielle UPS Modul für Magento gibt Ihren Kunden Zugriff auf unser umfassendes UPS Access Point-Netzwerk und Zustellungsdienstleistungen."
"Features of this product","Merkmale dieses Produkts"
"Front Office","Front Office"
"Simple & easy map interface for your customers to select UPS Access Point as per their preference.","Einfache und unkomplizierte Kartenschnittstelle, damit Ihre Kunden UPS Access Point als Präferenz auswählen können."
"User-friendly interface for your customers to switch from Access Point delivery to home delivery.","Benutzerfreundliche Oberfläche, über die Ihre Kunden von Zustellung an einen Access Point zu Zustellung nach Hause wechseln können."
"Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).","Echtzeit-Versandtarife oder -Flatrates von UPS für jeden verfügbaren Service (gemäß den Back Office-Einstellungen des Händlers)."
"Back Office","Back Office"
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Vielzahl von Optionen zur Einrichtung von Zustellungstarifen, die Ihre Kunden sehen (z. B.: kostenloser Versand, Echtzeit-Versandtarife oder Flatrates gemäß der Schwellenwerte für den Warenkorbwert)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Möglichkeit, ein UPS Konto direkt im Modul selbst zu eröffnen, sofern Sie keines haben."
"Easy PDF label generation.","Einfache PDF-Etikettgenerierung."
"Real time tracking information.","Echtzeitinformationen zur Sendungsverfolgung."
"Ability to export open orders so that you can process them in other applications for more complex needs.","Möglichkeit, offene Bestellungen zu exportieren, sodass Sie sie in anderen Anwendungen für komplexere Anforderungen bearbeiten können."
"Module version number and release date","Modulversionsnummer und -veröffentlichungsdatum"
"Module version v","Modulversion V"
"Release date ","Veröffentlichungsdatum "
"Changelog","Änderungsprotokoll"
"Platform compatibility statement","Plattformkompatibilitätserklärung"
"Compatible with Magento versions 2.1, 2.2, 2.3","Kompatibel mit Magento-Versionen 2.1, 2.2, 2.3"
"UPS Shipping Module website","UPS Versandmodul-Website"
"For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>","Weitere Informationen finden Sie unter <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>"
"For more information visit","Weitere Informationen finden Sie unter"
"Netherlands_no_delete",""
"Support information","Support-Informationen"
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","Wenn Sie Unterstützung beim Installieren, Upgraden oder der Verwendung des UPS Versandmoduls benötigen, wenden Sie sich bitte an UPS:"
"Poland +48 (0) 22 203 03 21","Polen +49-(0)69 66308037"
"UPS Shipping Module","UPS Versandmodul"
"UPS Shipping","UPS Versand"
"Shipment management","Sendungsverwaltung"
"//======================= Country page","Seite: Ländereinstellung"
"Country setting","Ländereinstellung"
"Country Setting","Ländereinstellung"
"Please select your country/territory","Bitte wählen Sie Ihr Land oder Gebiet aus"
"Continue","Fortfahren"
"//======================= Terms and Condition page","Seite: Geschäftsbedingungen"
"UPS Terms and Conditions","UPS Geschäftsbedingungen"
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies, like limiting UPS's liability and my agreement on how disputes between UPS and me will be handled","Ich stimme der UPS Technologievereinbarung zu und bestätige, dass ich ausreichend Zeit hatte, sie zu lesen und zu verstehen, dass sie wichtige Bedingungen hinsichtlich der Nutzung von UPS Technologien enthält, wie z.B. zur Beschränkung der Haftung von UPS und meiner Zustimmung zur Art und Weise der Beilegung von Streitsachen zwischen UPS und mir."
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies,","Ich stimme der UPS Technologievereinbarung zu und bestätige, dass ich ausreichend Zeit hatte, sie zu lesen und zu verstehen,"
" like"," dass"
