"//======================= About page","//======================= About page"
"About","About"
"UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.","UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services."
"Features of this product","Features of this product"
"Front Office","Front Office"
"Simple & easy map interface for your customers to select UPS Access Point as per their preference.","Simple & easy map interface for your customers to select UPS Access Point as per their preference."
"User-friendly interface for your customers to switch from Access Point delivery to home delivery.","User-friendly interface for your customers to switch from Access Point delivery to home delivery."
"Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).","Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings)."
"Back Office","Back Office"
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Possibility to open a UPS account directly in the module itself, if you do not have one."
"Easy PDF label generation.","Easy PDF label generation."
"Real time tracking information.","Real time tracking information."
"Ability to export open orders so that you can process them in other applications for more complex needs.","Ability to export open orders so that you can process them in other applications for more complex needs."
"Module version number and release date","Module version number and release date"
"Module version v","Module version v"
"Release date ","Release date "
"Changelog","Changelog"
"Platform compatibility statement","Platform compatibility statement"
"Compatible with Magento versions 2.1, 2.2, 2.3","Compatible with Magento versions 2.1, 2.2, 2.3"
"UPS Shipping Module website","UPS Shipping Module website"
"For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>","For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>"
"For more information visit","For more information visit "
"Netherlands_no_delete",""
"Support information","Support information"
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -"
"Poland +48 (0) 22 203 03 21","Poland +48 (0) 22 203 03 21"
"UPS Shipping Module","UPS Shipping Module"
"UPS Shipping","UPS Shipping"
"Shipment management","Shipment management"
"//======================= Country page","//======================= Country page"
"Country setting","Country Setting"
"Country Setting","Country Setting"
"Please select your country/territory","Please select your country/territory"
"Continue","Continue"
"//======================= Terms and Condition page","//======================= Terms and Condition page"
"UPS Terms and Conditions","UPS Terms and Conditions"
