"English (US)","Italy"
"//======================= About page","Pagina “Informazioni su”"
"About","Informazioni su"
"UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.","UPS ha unito le forze con Magento per offrire un modulo gratuito di spedizione UPS e UPS Access Point™ che ti permetterà di integrare e offrire una gamma più ampia di soluzioni di spedizione e consegna UPS direttamente sul tuo sito Web al momento del check-out! Questo modulo ufficiale UPS per Magento offre ai tuoi clienti l’accesso alla nostra ampia rete di sedi UPS Access Point e servizi di consegna."
"Features of this product","Funzionalità di questo prodotto"
"Front Office","Front Office"
"Simple & easy map interface for your customers to select UPS Access Point as per their preference.","Interfaccia con mappa intuitiva e semplice da utilizzare, che permette ai tuoi clienti di selezionare la sede UPS Access Point preferita."
"User-friendly interface for your customers to switch from Access Point delivery to home delivery.","Interfaccia facile da utilizzare per i clienti, che consente loro di passare dalla consegna a un Access Point alla consegna a casa."
"Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).","Tariffe di spedizione UPS in tempo reale o tariffe fisse per ciascun servizio disponibile (come da impostazioni del back office del commerciante)."
"Back Office","Back Office"
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Gamma di opzioni per impostare le tariffe di consegna che visualizzeranno i tuoi clienti (ad esempio: spedizione gratuita, tariffe di spedizione in tempo reale o tariffe fisse in base alle soglie di valore del carrello)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Possibilità di aprire un codice cliente UPS direttamente dal modulo, se non se ne possiede uno."
"Easy PDF label generation.","Generazione semplice dell’etichetta PDF."
"Real time tracking information.","Informazioni di ricerca in tempo reale."
"Ability to export open orders so that you can process them in other applications for more complex needs.","Possibilità di esportare gli ordini aperti, in modo da poterli elaborare in altre applicazioni, per necessità più complesse."
"Module version number and release date","Numero versione e data di rilascio del modulo"
"Module version v","Modulo versione v"
"Release date ","Data di rilascio "
"Changelog","Rapporto delle modifiche"
"Platform compatibility statement","Dichiarazione di compatibilità della piattaforma"
"Compatible with Magento versions 2.1, 2.2, 2.3","Compatibile con Magento versioni 2.1, 2.2, 2.3"
"UPS Shipping Module website","Sito Web del modulo di Spedizione UPS"
"For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>","Per maggiori informazioni visita <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>"
"For more information visit","Per maggiori informazioni visita"
"Netherlands_no_delete",""
"Support information","Informazioni di supporto"
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","Per assistenza all’installazione, l’aggiornamento o l’utilizzo del modulo di spedizione UPS, contatta UPS al numero:"
"Poland +48 (0) 22 203 03 21","Polonia +39-0248270032"
"UPS Shipping Module","Modulo di spedizione UPS"
"UPS Shipping","Spedizione UPS"
"Shipment management","Gestione della spedizione"
"//======================= Country page","Pagina del paese"
"Country setting","Impostazione paese"
"Country Setting","Impostazione paese"
"Please select your country/territory","Selezionare il proprio paese/territorio"
"Continue","Continuare"
"//======================= Terms and Condition page","Pagina Termini e condizioni"
"UPS Terms and Conditions","Termini e condizioni UPS"
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies, like limiting UPS's liability and my agreement on how disputes between UPS and me will be handled","Accetto il Contratto per l’utilizzo delle tecnologie UPS e confermo di aver dedicato il tempo sufficiente alla lettura e comprensione dei termini importanti che contiene circa il mio utilizzo delle tecnologie UPS, come la limitazione della responsabilità di UPS e la mia accettazione relativa alla gestione delle controversie tra UPS e me."
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies,","Accetto il Contratto per l’utilizzo delle tecnologie UPS e confermo di aver dedicato il tempo"
" like"," sufficiente"
" limiting UPS's liability and my agreement on how disputes between UPS and me will be handled"," alla lettura e comprensione dei termini importanti che contiene circa il mio utilizzo delle tecnologie UPS, come la limitazione della responsabilità di UPS e la mia accettazione relativa alla gestione delle controversie tra UPS e me."
"Print","Stampa"
"Cannot get Term & Condition","Impossibile ottenere Termini e condizioni"
"//======================= Account Page","Pagina del conto"
"Account","Codice cliente"
"ACCOUNT","CODICE CLIENTE"
"For more information on UPS Plugins please click <a target='_blank' href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page'>this link</a> (opens in a new browser window)","Per maggiori informazioni sui Plug-in UPS fai clic sul  <a target='_blank' href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page'>questo collegamento</a> (si apre in una nuova finestra del browser)"
"Please fill the form below to start configuring UPS plug-in for your e-commerce website","Compila il modulo riportato di seguito per iniziare a configurare il plug-in UPS per il sito Web e-commerce"
"Title","Titolo"
"Number of items in order","Numero di articoli nell'ordine"
"Add Backup Rate","Aggiungi tariffa aggiuntiva"
"Full name","Nome completo"
"Full Name","Nome completo"
"Company","Società"
"Email","E-mail"
"Phone number","Numero di telefono"
"Address type","Tipo di indirizzo"
"Address","Indirizzo"
"Postal code","Codice postale"
"City","Città"
"Country/Territory","Paese/Territorio"
"Example: Warehouse, Branch #1, etc.","Esempio: Magazzino, Filiale n. 1, ecc."
"Example: Warehouse, Branch #1","Esempio: Magazzino, Filiale n. 1"
"Street Address","Indirizzo"
"Apartment, Suite, Unit, Building, Floor, etc.","Appartamento, interno, unità, edificio, piano ecc."
